year,state,county,county_state,fi_rate,number_food_insecure_individuals,low_threshold_in_state,low_threshold_type,high_threshold_in_state,high_threshold_type,percent_fi_low_threshold,percent_fi_btwn_thresholds,percent_fi_high_threshold,weighted_annual_food_budget_shortfall,cost_per_meal,child_fi_rate,number_food_insecure_children,percent_of_children_in_fi_hh_with_hh_incomes_below_185_percent_fpl,percent_of_children_in_fi_hh_with_hh_incomes_above_185_percent_fpl,zip,latitude,longitude,id,estimate_total_edu_data,estimate_total_less_than_9th_grade,estimate_total_9th_to_12th_grade_no_diploma,estimate_total_high_school_graduate_includes_equivalency,estimate_total_some_college_no_degree,estimate_total_associates_degree,estimate_total_bachelors_degree,estimate_total_graduate_or_professional_degree,estimate_total_hispanic_data,estimate_total_not_hispanic_or_latino,estimate_total_hispanic_or_latino,estimate_total_immigration_data,estimate_total_u_s_citizen,estimate_total_not_a_u_s_citizen,estimate_total_income_data,estimate_total_less_than_20_000,estimate_total_20_000_to_39_999,estimate_total_40_000_to_59_999,estimate_total_60_000_to_99_999,estimate_total_100_000_to_149_999,estimate_total_150_000_to_199_999,estimate_total_200_000_or_more,estimate_total_ins_status_data,estimate_total_under_19_years,estimate_total_under_19_years_with_health_insurance_coverage,estimate_total_under_19_years_no_health_insurance_coverage,estimate_total_19_to_64_years,estimate_total_19_to_64_years_with_health_insurance_coverage,estimate_total_19_to_64_years_no_health_insurance_coverage,estimate_total_65_years_and_over,estimate_total_65_years_and_over_with_health_insurance_coverage,estimate_total_65_years_and_over_no_health_insurance_coverage,estimate_total_race_data,estimate_total_white_alone,estimate_total_black_or_african_american_alone,estimate_total_american_indian_and_alaska_native_alone,estimate_total_asian_alone,estimate_total_native_hawaiian_and_other_pacific_islander_alone,estimate_total_some_other_race_alone,estimate_total_two_or_more_races
2017,GA,charlton,charlton_GA,0.152,1970,1.3,SNAP,1.85,Other Nutrition Program,0.575,0.103,0.323,1101000,3.27,0.246,620,0.77,0.23,31537,30.83,-82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,GA,chatham,chatham_GA,0.166,47310,1.3,SNAP,1.85,Other Nutrition Program,0.5,0.136,0.364,26490000,3.28,0.205,12900,0.64,0.36,31322,32.1,-81.25,0500000US13051,195081,4943,17539,47028,45478,16238,37654,26201,290501,271379,19122,290501,278756,11745,107754,17953,20366,20532,23901,13617,6385,5000,283639,66538,61852,4686,176415,137957,38458,40686,40631,55,290501,154261,112485,1431,6839,4210,3001,8274
2017,GA,chattahoochee,chattahoochee_GA,0.164,1820,1.3,SNAP,1.85,Other Nutrition Program,0.381,0.194,0.426,970000,3.12,0.22,540,0.82,0.18,31805,32.3,-84.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,GA,chattooga,chattooga_GA,0.143,3560,1.3,SNAP,1.85,Other Nutrition Program,0.628,0.147,0.225,1745000,2.87,0.231,1300,0.88,0.12,30730,34.4,-85.4,0500000US13055,17154,1877,3467,5564,3488,545,1193,1020,25096,23946,1150,25096,24505,591,9365,2073,2893,1711,1640,801,207,40,23456,6459,6265,194,13094,9977,3117,3903,3687,216,null,null,null,null,null,null,null,null
2017,GA,cherokee,cherokee_GA,0.075,17630,1.3,SNAP,1.85,Other Nutrition Program,0.454,0.123,0.422,9415000,3.13,0.162,9790,0.49,0.52,30102,34.05,-84.67,0500000US13057,165411,4162,7883,36945,42740,13278,39884,20519,247573,221952,25621,247573,236000,11573,89510,8034,11017,14289,23525,19207,7311,6127,246439,64611,61236,3375,150053,132667,17386,31775,31775,0,247573,215889,15168,459,5091,143,3020,7803
2017,GA,clarke,clarke_GA,0.206,25440,1.3,SNAP,1.85,Other Nutrition Program,0.663,0.058,0.278,13609000,3.13,0.242,5200,0.67,0.33,30601,33.95,-83.39,0500000US13059,70087,3080,5152,15079,11028,4884,15398,15466,127064,113229,13835,127064,118505,8559,48257,12542,11651,8302,7048,5238,1948,1528,126285,27724,24574,3150,85515,72729,12786,13046,13046,0,127064,79804,34716,0,4979,0,3308,4257
2017,GA,clay,clay_GA,0.274,830,1.3,SNAP,1.85,Other Nutrition Program,0.81,0.115,0.075,419000,2.96,0.339,240,0.82,0.18,39824,31.55,-84.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,GA,clayton,clayton_GA,0.211,57790,1.3,SNAP,1.85,Other Nutrition Program,0.6,0.222,0.179,26578000,2.7,0.226,17490,0.7,0.3,30236,33.52,-84.35,0500000US13063,176690,10378,19028,64250,38180,15890,18975,9989,285153,247226,37927,285153,266824,18329,94199,15290,25126,20690,23708,7322,1166,897,281558,84336,78373,5963,172044,125514,46530,25178,25004,174,285153,44964,200852,802,14969,0,15790,7776
2017,GA,clinch,clinch_GA,0.206,1400,1.3,SNAP,1.85,Other Nutrition Program,0.759,0.039,0.202,679000,2.84,0.271,490,0.78,0.23,31623,31.07,-82.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,GA,cobb,cobb_GA,0.111,81880,1.3,SNAP,1.85,Other Nutrition Program,0.441,0.146,0.413,46090000,3.3,0.165,29680,0.59,0.41,30006,33.95,-84.54,0500000US13067,506561,17902,20965,97549,96247,37412,150043,86443,755754,656839,98915,755754,686332,69422,277609,24464,45533,42499,62893,48603,27199,26418,750520,191300,174154,17146,470879,396908,73971,88341,87236,1105,755754,450424,209769,1128,39499,62,30619,24253
2017,GA,coffee,coffee_GA,0.158,6810,1.3,SNAP,1.85,Other Nutrition Program,0.598,0.137,0.265,3083000,2.65,0.234,2480,0.8,0.2,31512,31.59,-83.01,0500000US13069,27349,2154,4937,9008,4840,2253,2561,1596,43014,37876,5138,43014,41278,1736,14906,4180,2997,2680,3478,919,492,160,39701,10669,9164,1505,23599,17452,6147,5433,5361,72,null,null,null,null,null,null,null,null
2017,GA,colquitt,colquitt_GA,0.148,6780,1.3,SNAP,1.85,Other Nutrition Program,0.732,0.143,0.125,3252000,2.81,0.237,2900,0.8,0.2,31722,31.06,-83.62,0500000US13071,29855,2359,5262,13132,3798,1801,1786,1717,45835,36760,9075,45835,42723,3112,15898,4083,4639,1871,3577,1128,165,435,45432,13032,12018,1014,25558,16773,8785,6842,6829,13,45835,28738,11406,0,0,0,5321,370
2017,GA,columbia,columbia_GA,0.091,13050,1.3,SNAP,1.85,Other Nutrition Program,0.364,0.129,0.507,6649000,2.99,0.162,6040,0.46,0.55,30802,33.6,-82.31,0500000US13073,98512,4521,4514,22807,20074,11653,21853,13090,151579,141466,10113,151579,144814,6765,43990,4293,6204,5163,13366,8460,3889,2615,146586,41615,41103,512,85744,74823,10921,19227,19227,0,151579,112468,24816,466,5589,0,895,7345
2017,GA,cook,cook_GA,0.162,2780,1.3,SNAP,1.85,Other Nutrition Program,0.693,0.138,0.169,1404000,2.96,0.223,1000,0.8,0.2,31620,31.13,-83.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,GA,coweta,coweta_GA,0.105,14480,1.3,SNAP,1.85,Other Nutrition Program,0.443,0.153,0.404,7649000,3.1,0.181,6370,0.6,0.4,30220,33.23,-84.82,0500000US13077,94167,3982,5565,24890,23676,6584,21178,8292,143114,133022,10092,143114,137738,5376,52796,6561,8213,7646,13234,9247,4464,3431,142559,37927,36537,1390,85370,72275,13095,19262,19181,81,143114,110425,25323,236,3302,0,1134,2694
2017,GA,crawford,crawford_GA,0.143,1770,1.3,SNAP,1.85,Other Nutrition Program,0.564,0.193,0.243,884000,2.93,0.214,570,0.82,0.18,31050,32.63,-83.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,GA,crisp,crisp_GA,0.212,4870,1.3,SNAP,1.85,Other Nutrition Program,0.728,0.156,0.116,2353000,2.83,0.254,1450,0.83,0.17,31010,31.96,-83.77,0500000US13081,13719,613,1076,5970,2867,1328,1189,676,19975,19453,522,19975,19672,303,7862,2796,1586,1070,1357,613,235,205,19578,4621,4141,480,11243,8799,2444,3714,3714,0,null,null,null,null,null,null,null,null
2017,GA,dade,dade_GA,0.112,1820,1.3,SNAP,1.85,Other Nutrition Program,0.488,0.174,0.338,947000,3.05,0.212,660,0.85,0.15,30738,34.81,-85.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,GA,dawson,dawson_GA,0.084,1970,1.3,SNAP,1.85,Other Nutrition Program,0.454,0.238,0.308,1152000,3.43,0.182,910,0.78,0.22,30534,34.42,-84.11,0500000US13085,16541,630,1324,5729,3318,1715,2398,1427,24379,21845,2534,24379,23948,431,8071,759,1404,1230,1383,2305,481,509,24220,6068,5495,573,13147,11664,1483,5005,5005,0,null,null,null,null,null,null,null,null
2017,GA,decatur,decatur_GA,0.189,5110,1.3,SNAP,1.85,Other Nutrition Program,0.637,0.136,0.227,2636000,3.02,0.228,1520,0.73,0.27,39815,30.74,-84.47,0500000US13087,16353,844,1406,5436,4729,1906,860,1172,25280,23360,1920,25280,24668,612,9479,2162,2082,1297,2650,508,224,556,24023,7191,6529,662,12880,10021,2859,3952,3952,0,null,null,null,null,null,null,null,null
2017,GA,dekalb,dekalb_GA,0.179,131820,1.3,SNAP,1.85,Other Nutrition Program,0.527,0.148,0.324,71349000,3.17,0.206,35730,0.65,0.35,30002,33.76,-84.26,0500000US13089,513908,24727,31913,112090,94069,31532,125821,93756,753253,688183,65070,753253,679379,73874,278249,37886,50789,45746,65173,38316,17786,22553,747759,183857,172184,11673,475058,384786,90272,88844,87816,1028,753253,252104,399972,10691,44788,968,14112,30618
2017,GA,dodge,dodge_GA,0.173,3650,1.3,SNAP,1.85,Other Nutrition Program,0.601,0.075,0.324,1779000,2.86,0.242,1040,0.79,0.21,31011,32.1,-83.06,0500000US13091,15234,346,1404,6824,2566,994,1699,1401,20730,20393,337,20730,20649,81,7248,1816,2325,1373,1065,369,286,14,18053,4294,3900,394,10508,8985,1523,3251,3251,0,null,null,null,null,null,null,null,null
2017,GA,dooly,dooly_GA,0.189,2660,1.3,SNAP,1.85,Other Nutrition Program,0.584,0.174,0.241,1333000,2.94,0.225,590,0.79,0.22,31007,32.2,-83.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,GA,dougherty,dougherty_GA,0.255,23360,1.3,SNAP,1.85,Other Nutrition Program,0.671,0.143,0.187,11553000,2.9,0.271,6130,0.7,0.31,31701,31.57,-84.17,0500000US13095,57630,2379,5530,18075,13263,4184,7108,7091,89502,86948,2554,89502,87891,1611,34179,9187,8108,7465,4796,2655,1178,790,87635,23510,22517,993,50952,39986,10966,13173,13073,100,89502,23836,61102,142,929,0,1443,2050
2017,GA,douglas,douglas_GA,0.149,20920,1.3,SNAP,1.85,Other Nutrition Program,0.481,0.182,0.337,10520000,2.95,0.182,6780,0.65,0.35,30122,33.77,-84.64,0500000US13097,94045,4022,9771,28951,19003,6947,14785,10566,143882,129907,13975,143882,139740,4142,49962,4924,9566,10033,14127,7141,3008,1163,142511,39100,35455,3645,86869,73245,13624,16542,16542,0,143882,67162,69768,171,2141,159,1602,2879
2017,GA,early,early_GA,0.207,2160,1.3,SNAP,1.85,Other Nutrition Program,0.744,0.089,0.168,1140000,3.09,0.26,670,0.76,0.24,39823,31.33,-84.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,GA,echols,echols_GA,0.115,460,1.3,SNAP,1.85,Other Nutrition Program,0.672,0.044,0.284,228000,2.9,0.202,230,0.64,0.36,31648,30.7,-83.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,GA,effingham,effingham_GA,0.096,5500,1.3,SNAP,1.85,Other Nutrition Program,0.44,0.179,0.381,2822000,3.01,0.174,2670,0.61,0.39,31302,32.11,-81.3,0500000US13103,39745,1402,2735,15342,8596,4158,5093,2419,59982,57366,2616,59982,59429,553,21730,2776,3726,3411,5719,4045,1091,962,59425,16155,15821,334,35631,29761,5870,7639,7565,74,null,null,null,null,null,null,null,null
2017,GA,elbert,elbert_GA,0.161,3110,1.3,SNAP,1.85,Other Nutrition Program,0.62,0.159,0.221,1588000,2.99,0.234,990,0.7,0.3,30624,34.2,-83.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,GA,emanuel,emanuel_GA,0.196,4420,1.3,SNAP,1.85,Other Nutrition Program,0.669,0.154,0.178,1944000,2.58,0.276,1570,0.83,0.17,30401,32.59,-82.33,0500000US13107,15701,891,1484,7223,2487,1373,1275,968,22558,22148,410,22558,22521,37,8545,2600,1928,1177,2011,479,284,66,21704,5507,5078,429,11965,9162,2803,4232,4232,0,null,null,null,null,null,null,null,null
2017,GA,evans,evans_GA,0.161,1730,1.3,SNAP,1.85,Other Nutrition Program,0.644,0.069,0.287,893000,3.03,0.238,680,0.69,0.31,30414,32.15,-81.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,GA,fannin,fannin_GA,0.108,2640,1.3,SNAP,1.85,Other Nutrition Program,0.569,0.135,0.296,1402000,3.11,0.199,850,0.73,0.28,30513,34.86,-84.32,0500000US13111,18182,483,1067,6059,5135,1750,2474,1214,25322,24665,657,25322,24831,491,10238,1876,1987,1320,3430,1084,188,353,25172,5662,5352,310,13137,11104,2033,6373,6373,0,null,null,null,null,null,null,null,null
2017,GA,fayette,fayette_GA,0.084,9260,1.3,SNAP,1.85,Other Nutrition Program,0.333,0.121,0.545,5137000,3.25,0.148,3890,0.44,0.56,30205,33.29,-84.45,0500000US13113,78392,629,3762,16288,15586,5929,22050,14148,112549,104264,8285,112549,107327,5222,40484,2880,5537,4962,9721,8241,5088,4055,111866,28126,26474,1652,63811,57566,6245,19929,19868,61,112549,74542,25204,52,5380,223,2588,4560
2017,GA,floyd,floyd_GA,0.133,12820,1.3,SNAP,1.85,Other Nutrition Program,0.58,0.142,0.278,6135000,2.8,0.212,4810,0.79,0.21,30105,34.47,-85.21,0500000US13115,64239,5023,7464,22379,12092,5171,6636,5474,97613,86700,10913,97613,92377,5236,36927,7317,9127,6174,8075,4088,1017,1129,95579,24248,23809,439,55897,41626,14271,15434,15434,0,97613,79734,13364,131,1214,0,591,2579
2017,GA,forsyth,forsyth_GA,0.053,11110,1.3,SNAP,1.85,Other Nutrition Program,0.4,0.108,0.491,6461000,3.41,0.147,8910,0.36,0.64,30028,34.2,-84.13,0500000US13117,148444,4430,6343,22041,23165,10534,53464,28467,227967,206016,21951,227967,204977,22990,78299,5071,6882,8946,16784,17181,10554,12881,227357,66928,59928,7000,134187,117304,16883,26242,25988,254,227967,183654,6620,810,28861,0,1660,6362
2017,GA,franklin,franklin_GA,0.148,3310,1.3,SNAP,1.85,Other Nutrition Program,0.658,0.051,0.291,1626000,2.88,0.236,1170,0.75,0.25,30521,34.36,-83.23,0500000US13119,16201,868,2468,5749,2755,2025,1166,1170,22820,21594,1226,22820,22409,411,8568,2431,2010,1165,1944,634,208,176,22586,5034,4681,353,12676,10127,2549,4876,4876,0,null,null,null,null,null,null,null,null
2017,GA,fulton,fulton_GA,0.167,168680,1.3,SNAP,1.85,Other Nutrition Program,0.475,0.118,0.408,103936000,3.61,0.194,44690,0.61,0.39,30004,34.06,-84.27,0500000US13121,703237,18597,34174,130246,115119,44736,217279,143086,1041423,965153,76270,1041423,955992,85431,410408,62648,66937,61065,82162,56511,27085,54000,1031739,246509,231953,14556,669788,578011,91777,115442,114510,932,1041423,465421,460597,1813,72843,259,14771,25719
2017,GA,gilmer,gilmer_GA,0.106,3130,1.3,SNAP,1.85,Other Nutrition Program,0.61,0.133,0.257,1543000,2.89,0.238,1430,0.78,0.22,30522,34.78,-84.45,0500000US13123,22140,1061,1856,8701,4750,1974,2843,955,30674,27865,2809,30674,29342,1332,12306,1912,3055,2539,2951,1037,404,408,30457,5729,5206,523,18389,14369,4020,6339,6115,224,null,null,null,null,null,null,null,null
2017,GA,glascock,glascock_GA,0.108,330,1.3,SNAP,1.85,Other Nutrition Program,0.476,0.325,0.199,154000,2.73,0.176,120,1,0,30810,33.23,-82.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,GA,glynn,glynn_GA,0.151,12580,1.3,SNAP,1.85,Other Nutrition Program,0.555,0.145,0.3,7142000,3.33,0.225,4290,0.75,0.25,31520,31.15,-81.48,0500000US13127,59029,1354,5100,15295,13610,5142,11686,6842,85282,79338,5944,85282,83980,1302,34380,6006,7841,5273,6043,5605,1493,2119,84117,20121,18436,1685,47942,38514,9428,16054,16033,21,85282,59081,22447,341,1241,0,61,2111
2017,GA,gordon,gordon_GA,0.11,6230,1.3,SNAP,1.85,Other Nutrition Program,0.618,0.21,0.172,2851000,2.68,0.222,3170,0.85,0.15,30139,34.44,-84.7,0500000US13129,37514,2176,5423,11129,7937,3511,4488,2850,57089,47828,9261,57089,54993,2096,19993,3897,4843,4542,3177,2560,309,665,56565,14617,12685,1932,34378,25984,8394,7570,7570,0,57089,48345,1913,0,692,0,3518,2621
2017,GA,grady,grady_GA,0.165,4140,1.3,SNAP,1.85,Other Nutrition Program,0.652,0.201,0.147,1934000,2.74,0.247,1560,0.82,0.18,39827,30.97,-84.2,0500000US13131,16670,1190,2197,6173,3291,1217,1496,1106,24819,21341,3478,24819,24060,759,9281,2026,1577,1382,2366,1409,194,327,24682,5960,5034,926,14508,11578,2930,4214,4214,0,null,null,null,null,null,null,null,null
2017,GA,greene,greene_GA,0.162,2710,1.3,SNAP,1.85,Other Nutrition Program,0.624,0.163,0.213,1487000,3.22,0.234,760,0.8,0.2,30642,33.57,-83.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,GA,gwinnett,gwinnett_GA,0.102,90640,1.3,SNAP,1.85,Other Nutrition Program,0.511,0.217,0.273,45246000,2.93,0.171,42210,0.67,0.33,30003,33.94,-84.2,0500000US13135,587069,37552,34250,135667,108544,56959,140009,74088,920260,725149,195111,920260,796245,124015,292679,26753,48812,49257,76755,50538,20847,19717,914966,262373,232377,29996,565130,431534,133596,87463,85397,2066,920260,440501,259499,4985,106385,264,77448,31178
2017,GA,habersham,habersham_GA,0.098,4280,1.3,SNAP,1.85,Other Nutrition Program,0.577,0.165,0.258,2106000,2.88,0.199,1990,0.81,0.19,30510,34.47,-83.57,0500000US13137,29843,3363,3535,9412,5327,2350,3617,2239,44567,37942,6625,44567,42333,2234,14679,2058,2869,3693,3294,2157,330,278,43612,10811,9137,1674,24675,19825,4850,8126,8126,0,44567,38843,1378,128,906,0,2186,1126
2017,GA,hall,hall_GA,0.08,15340,1.3,SNAP,1.85,Other Nutrition Program,0.626,0.181,0.193,7847000,3,0.188,9550,0.72,0.29,30501,34.29,-83.83,0500000US13139,129706,14126,13457,36562,25467,6039,20853,13202,199335,142351,56984,199335,175358,23977,62164,7427,11720,10926,13853,10338,3303,4597,198505,53409,48868,4541,116678,86712,29966,28418,28202,216,199335,172354,15498,625,3314,22,4879,2643
2017,GA,hancock,hancock_GA,0.237,2060,1.3,SNAP,1.85,Other Nutrition Program,0.504,0.082,0.413,1015000,2.89,0.296,370,0.7,0.3,31087,33.27,-82.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,GA,haralson,haralson_GA,0.127,3650,1.3,SNAP,1.85,Other Nutrition Program,0.589,0.136,0.275,1836000,2.95,0.223,1550,0.73,0.27,30110,33.7,-85.15,0500000US13143,20312,1178,3280,8171,5109,483,1271,820,29908,29468,440,29908,29654,254,11254,2183,2426,1926,2613,1107,629,370,29588,7254,6689,565,17876,14833,3043,4458,4458,0,null,null,null,null,null,null,null,null
2017,GA,harris,harris_GA,0.088,2940,1.3,SNAP,1.85,Other Nutrition Program,0.348,0.196,0.455,1663000,3.31,0.16,1170,0.49,0.51,31804,32.66,-84.88,0500000US13145,23039,332,1797,3845,8208,2232,3768,2857,33915,33130,785,33915,33915,0,12598,981,1919,2099,3439,2282,1051,827,32980,8237,8237,0,18762,17343,1419,5981,5981,0,null,null,null,null,null,null,null,null
2017,GA,hart,hart_GA,0.134,3430,1.3,SNAP,1.85,Other Nutrition Program,0.62,0.168,0.213,1614000,2.76,0.207,1120,0.9,0.1,30516,34.37,-83.08,0500000US13147,20882,451,3454,8326,4231,1543,1970,907,28128,27670,458,28128,28084,44,10260,2873,1965,1546,2534,687,232,423,27443,5964,5885,79,15503,12401,3102,5976,5976,0,28128,21594,4717,0,220,0,152,1445
2017,GA,heard,heard_GA,0.134,1560,1.3,SNAP,1.85,Other Nutrition Program,0.588,0.151,0.26,802000,3.01,0.22,590,0.77,0.23,30217,33.28,-85.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,GA,henry,henry_GA,0.137,29740,1.3,SNAP,1.85,Other Nutrition Program,0.422,0.162,0.416,15054000,2.97,0.18,10450,0.64,0.36,30228,33.38,-84.28,0500000US13151,144329,2733,8279,46127,32903,11537,28087,14663,225813,210297,15516,225813,219167,6646,77170,8263,12527,10696,25525,12445,4567,3147,224278,62482,58418,4064,136947,116775,20172,24849,24764,85,225813,110952,98814,85,7904,0,1206,6852
2017,GA,houston,houston_GA,0.146,21890,1.3,SNAP,1.85,Other Nutrition Program,0.515,0.137,0.347,10988000,2.94,0.205,7960,0.69,0.31,31005,32.5,-83.56,0500000US13153,100891,2096,4295,27607,26121,9259,20626,10887,153479,143142,10337,153479,148235,5244,56860,8396,11456,9191,13266,9263,3170,2118,149791,42493,39259,3234,88917,73194,15723,18381,18307,74,153479,94526,47041,391,4183,0,698,6640
2017,GA,irwin,irwin_GA,0.178,1650,1.3,SNAP,1.85,Other Nutrition Program,0.681,0.131,0.188,785000,2.79,0.256,520,0.87,0.13,31760,31.64,-83.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,GA,jackson,jackson_GA,0.09,5770,1.3,SNAP,1.85,Other Nutrition Program,0.526,0.153,0.321,3430000,3.48,0.172,2800,0.62,0.38,30517,34.1,-83.78,0500000US13157,46553,2590,4478,15105,9509,4370,6596,3905,67519,62461,5058,67519,65854,1665,23785,3031,3174,4460,6364,4413,1079,1264,66765,17226,15657,1569,39567,32039,7528,9972,9972,0,67519,58883,4727,0,1368,0,737,1804
2017,GA,jasper,jasper_GA,0.138,1890,1.3,SNAP,1.85,Other Nutrition Program,0.673,0.169,0.158,936000,2.9,0.209,680,0.94,0.07,30056,33.51,-83.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,GA,jeff davis,jeff davis_GA,0.135,2030,1.3,SNAP,1.85,Other Nutrition Program,0.678,0.14,0.182,944000,2.72,0.225,910,0.92,0.08,31532,31.72,-82.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,GA,jefferson,jefferson_GA,0.214,3420,1.3,SNAP,1.85,Other Nutrition Program,0.651,0.203,0.146,1693000,2.9,0.269,1030,0.75,0.25,30413,32.88,-82.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,GA,jenkins,jenkins_GA,0.199,1780,1.3,SNAP,1.85,Other Nutrition Program,0.739,0.151,0.11,880000,2.9,0.277,600,0.69,0.31,30425,32.65,-82.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,GA,johnson,johnson_GA,0.168,1650,1.3,SNAP,1.85,Other Nutrition Program,0.553,0.192,0.255,791000,2.81,0.24,480,0.64,0.36,31049,32.69,-82.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,GA,jones,jones_GA,0.124,3540,1.3,SNAP,1.85,Other Nutrition Program,0.535,0.107,0.358,1582000,2.62,0.194,1330,0.66,0.34,31032,33,-83.53,0500000US13169,18241,1097,884,7249,3351,1699,2773,1188,28470,28090,380,28470,28408,62,9342,1413,2015,1684,2368,1640,83,139,28149,8836,8659,177,15829,13698,2131,3484,3484,0,null,null,null,null,null,null,null,null
